phc: starting hill-climb for prompt.md
phc: executor=http://localhost:8082/v1  proposer=anthropic:claude-haiku-4-5-20251001
phc: 25 test cases, max 20 iterations
  section_24.json: 3 concepts, fitness=0.6733 [torrent]
  section_26.json: 9 concepts, fitness=0.7154 [torrent]
  section_27.json: 14 concepts, fitness=0.7756 [torrent]
  section_32.json: 17 concepts, fitness=0.7982 [torrent]
  section_33.json: 11 concepts, fitness=0.7634 [torrent]
  AVG FITNESS: 0.7943 (25 samples)
phc: iter  18  0.7943  REVERT  -0.0060
  [proposer] template splice: 17825 chars mutated, 2885 chars preserved
  section_01.json: 4 concepts, fitness=0.7621 [single]
  section_02.json: 3 concepts, fitness=0.7582 [single]
  section_03.json: 3 concepts, fitness=0.8111 [single]
  section_04.json: 5 concepts, fitness=0.8692 [single]
  section_05.json: 0 concepts, fitness=0.0000 [single]
  section_06.json: 3 concepts, fitness=0.8501 [single]
  section_07.json: 6 concepts, fitness=0.7255 [single]
  section_08.json: 5 concepts, fitness=0.7907 [single]
  section_09.json: 3 concepts, fitness=0.7766 [single]
  section_10.json: 4 concepts, fitness=0.7657 [single]
  section_11.json: 4 concepts, fitness=0.8801 [single]
  section_12.json: 5 concepts, fitness=0.9014 [single]
  section_13.json: 3 concepts, fitness=0.7896 [single]
  section_14.json: 5 concepts, fitness=0.8607 [single]
  section_15.json: 5 concepts, fitness=0.8391 [single]
  section_16.json: 12 concepts, fitness=0.7725 [torrent]
  section_17.json: 15 concepts, fitness=0.7392 [torrent]
  section_18.json: 14 concepts, fitness=0.7976 [torrent]
  section_19.json: 13 concepts, fitness=0.7872 [torrent]
  section_23.json: 12 concepts, fitness=0.8652 [torrent]
  section_24.json: 4 concepts, fitness=0.7012 [torrent]
  section_26.json: 10 concepts, fitness=0.6518 [torrent]
  section_27.json: 14 concepts, fitness=0.7767 [torrent]
  section_32.json: 19 concepts, fitness=0.7480 [torrent]
  section_33.json: 12 concepts, fitness=0.7871 [torrent]
  AVG FITNESS: 0.7603 (25 samples)
phc: iter  19  0.7603  REVERT  -0.0401
  [proposer] template splice: 17749 chars mutated, 2885 chars preserved
  section_01.json: 4 concepts, fitness=0.7741 [single]
  section_02.json: 4 concepts, fitness=0.8039 [single]
  section_03.json: 4 concepts, fitness=0.7639 [single]
  section_04.json: 5 concepts, fitness=0.8680 [single]
  section_05.json: 0 concepts, fitness=0.0000 [single]
  section_06.json: 3 concepts, fitness=0.8453 [single]
  section_07.json: 6 concepts, fitness=0.7602 [single]
  section_08.json: 6 concepts, fitness=0.8221 [single]
  section_09.json: 4 concepts, fitness=0.7803 [single]
  section_10.json: 4 concepts, fitness=0.8418 [single]
  section_11.json: 4 concepts, fitness=0.8826 [single]
  section_12.json: 5 concepts, fitness=0.8557 [single]
  section_13.json: 4 concepts, fitness=0.7967 [single]
  section_14.json: 5 concepts, fitness=0.8529 [single]
  section_15.json: 5 concepts, fitness=0.8257 [single]
  section_16.json: 11 concepts, fitness=0.7491 [torrent]
  section_17.json: 14 concepts, fitness=0.7579 [torrent]
  section_18.json: 14 concepts, fitness=0.8322 [torrent]
  section_19.json: 12 concepts, fitness=0.7814 [torrent]
  section_23.json: 3 concepts, fitness=0.6189 [torrent]
  section_24.json: 4 concepts, fitness=0.6818 [torrent]
  section_26.json: 9 concepts, fitness=0.6643 [torrent]
  section_27.json: 8 concepts, fitness=0.7929 [torrent]
  section_32.json: 10 concepts, fitness=0.7094 [torrent]
  section_33.json: 12 concepts, fitness=0.7214 [torrent]
  AVG FITNESS: 0.7513 (25 samples)
phc: iter  20  0.7513  REVERT  -0.0490
phc: done — 0.7801 → 0.8003 (+0.0202)
phc: 3 keeps, 16 reverts, 1 rejects in 20 iterations
phc: best prompt → results//prompt.best.txt
